frame_index,source_frame_index,analysis_frame_index,timestamp_ms,frame_status,frame_rejection_reason,human_target_unavailable,human_target_unavailable_reason,human_target_unavailable_note,human_target_unavailable_start_frame,human_target_unavailable_end_frame,human_target_accepted,human_target_accepted_note,human_target_accepted_start_frame,human_target_accepted_end_frame,manual_review_decision,manual_override_applied,automatic_frame_status,automatic_frame_rejection_reason,valid_target_frame,valid_segment_id,backend_pose_count,selected_pose_index,multiple_pose_candidates,competing_pose_count,competing_pose_max_iou,competing_pose_min_center_distance_fraction,competing_pose_proximity_flag,target_overlap_ambiguous_flag,identity_jump_flag,identity_uncertain_flag,pelvis_x,pelvis_y,shoulder_mid_x,shoulder_mid_y,pelvis_jump_px,shoulder_jump_px,body_scale_px,body_scale_relative_change,pose_bbox_x,pose_bbox_y,pose_bbox_width,pose_bbox_height,pose_centroid_x,pose_centroid_y,pose_scale_px,pose_scale_relative_change,roi_center_x,roi_center_y,roi_pose_centroid_distance_px,roi_pose_centroid_distance_fraction,pose_roi_overlap_fraction,pose_centroid_consistent_with_roi
0,0,0,0.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,708.5046157836914,337.10889434814453,698.7279891967773,210.95020294189453,,,126.53694260869975,,598.0537414550781,168.91868209838867,198.2113037109375,355.2231636047363,697.1593933105469,346.53026390075684,406.78153458600696,,679.2857142857143,365.0,25.702131301867258,0.04186275942464716,1.0,True
1,1,1,33.333333333333336,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,712.2836608886719,339.5828170776367,702.4415893554688,208.72985458374023,4.516799262417461,4.326750856034042,131.22257490803085,0.032231218620810916,606.7612228393555,169.8402214050293,187.1167984008789,326.8171272277832,700.3196220397949,333.2487850189209,376.5927918763398,0.2076603335480672,684.4642857142858,366.4285714285714,36.77349475077175,0.05986458749863986,1.0,True
2,2,2,66.66666666666667,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,727.0587844848633,330.44718170166016,706.8349990844727,202.25885391235352,17.371358928003488,7.821502332416295,129.77383741471075,0.009965479979731113,635.660041809082,164.05216598510742,152.6185531616211,380.4997444152832,711.9693183898926,354.302038192749,409.96643553984075,0.22956842030581392,689.6428571428571,367.85714285714283,26.11918326207861,0.04249705378256361,1.0,True
3,3,3,100.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,726.8681335449219,332.68441009521484,718.855827331543,193.76681900024414,2.2453370940301656,14.717845246300424,139.14846088436062,0.06448554202198148,644.3092041015625,159.99887466430664,150.45803833007812,389.5011558532715,719.5382232666016,354.7494525909424,417.5509210972594,0.05217165934306042,694.8214285714287,369.2857142857142,28.674428399921382,0.04662790948056015,1.0,True
4,4,4,133.33333333333334,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,716.6054382324219,341.8508605957031,704.4491653442383,197.52225494384766,13.76033174945689,14.888089492710577,144.8396402230439,0.03914810931739748,642.8349304199219,163.48779678344727,139.43411254882812,362.03005599975586,712.5519866943359,344.5028247833252,387.95313272284017,0.20359531581780024,700.0,370.71428571428567,29.061883182444554,0.047229649267421035,1.0,True
5,5,5,166.66666666666666,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,723.5435028076172,338.1502227783203,716.8647842407227,190.3584327697754,7.8632983095533096,14.334152947574871,147.94261886158978,0.021344564935015523,626.0475234985352,152.7438735961914,191.40666961669922,365.3082809448242,721.7508583068848,335.3980140686035,412.41563173650303,0.16827102584069495,705.1785714285716,372.1428571428571,40.30910796493312,0.06546690932853755,1.0,True
6,6,6,200.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,1,1,0,False,0,0.0,,False,False,False,False,725.6444320678711,337.6654357910156,716.6129608154297,192.02304458618164,2.1561359371920363,1.683552059440277,145.92214906876058,0.013898274437522357,614.236946105957,161.46918869018555,213.14501190185547,340.6946907043457,720.8094520568848,331.8165340423584,401.8751900438392,0.07250489557293176,710.3571428571429,373.57142857142856,43.04325713443142,0.0698617401245535,1.0,True
7,7,7,233.33333333333334,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,,,,False,,,,NOT_REVIEWED,False,TARGET_IDENTITY_UNCERTAIN,TARGET_OVERLAP_AMBIGUOUS: another detected person overlaps or is too close to the selected pose for automated identity acceptance.,False,,2,0,True,1,0.041055983624617404,0.4111768654194249,True,True,False,False,722.9920196533203,348.4617233276367,726.1937484741211,207.9432716369629,11.117334041498577,18.580772898600333,140.55492283440728,0.036919722055759316,623.2728042602539,178.3344955444336,168.4955062866211,314.3526077270508,707.5205574035645,335.510799407959,356.6627225034624,0.3110045416684171,715.5357142857143,375.0,40.29441280430734,0.0653555852002578,1.0,True
8,8,8,266.6666666666667,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,2,1,0,False,0,0.0,,False,False,False,False,725.5778198242188,347.7032241821289,726.9553375244141,199.6715087890625,2.69475109751429,8.30674897257834,148.03812453968797,0.05147495465680446,618.208366394043,174.5142707824707,189.0882797241211,312.6251640319824,712.7525062561035,330.8268527984619,365.36128792614494,0.05983511848890283,720.7142857142858,376.42857142857144,46.2915399847576,0.07502934315281173,1.0,True
9,9,9,300.0,VALID_TARGET,,False,,,,,False,,,,NOT_REVIEWED,False,VALID_TARGET,,True,2,1,0,False,0,0.0,,False,False,False,False,737.4876708984375,355.8007125854492,734.2662048339844,213.38697052001953,14.401870401165832,15.542286553512346,142.45017294718585,0.038438033100923315,614.2892532348633,176.2685546875,201.61530303955078,303.9537048339844,715.0969047546387,328.2454071044922,364.7418060793618,0.0042612508963071356,725.8928571428571,377.85714285714283,50.772796971995874,0.08223190082569574,1.0,True
